TYPE,DIST,LICNO,SS,ADR,INFO,EXPDATE,LPS_Id
PC,11,5011000032,MCL Kornhill Cinema,"4/F (PORTION), 5/F (PORTION) & 6/F (PORTION), KORNHILL PLAZA (SOUTH), 2 KORNHILL ROAD, HONG KONG",,2018-06-28,0
PC,11,5011800025,L CINEMA,"(PORTION OF G/F., M/F, 1/F) AND 2/F., GALAXY PLAZA, NO. 2 MONG LUNG STREET, SHAU KEI WAN, HONG KONG",,2018-08-01,0
PC,11,5711800031,Cinema City (Chai Wan),"G/F (PORTIONS), 1/F (PORTION), 2/F (PORTION), 3/F (PORTION) & 4/F (PORTION), WINNER CENTRE, 333 CHAI WAN ROAD, CHAI WAN, HONG KONG",,2018-01-12,0
PC,97,5097001004,"SIR RUN RUN SHAW HALL, THE CHINESE UNIVERSITY OF HONG KONG","SIR RUN RUN SHAW HALL,THE CHINESE UNIVERSITY OF HONG KONG, SHA TIN, NEW TERRITORIES",,2018-08-05,0
PC,97,5097001013,UA SHATIN CINEMA,"LEVEL 1, 2, LOWER & UPPER BASEMENT, CINEMA COMPLEX, NEW TOWN PLAZA, PHASE I, 18 SHATIN CENTRE STREET, SHA TIN, NEW TERRITORIES",,2018-06-30,0
PC,97,5097001022,MA ON SHAN CLASSICS CINEMA,"CINEMA 1, 2, 3, 4 G/F TO LEVEL 3(PORTION), LOT 307, SUNSHINE CITY PLAZA PHASE 4, MA ON SHAN, SHA TIN, NEW TERRITORIES",,2018-04-28,0
PC,97,5097001040,"MUSIC HALL, CHUNG CHI COLLEGE, THE CHINESE UNIVERSITY OF HONG KONG","LG/F (MUSIC HALL) & G/F (MUSIC HALL)TEACHING BUILDINGS OF CHUNG CHI COLLEGE, PHASE V,THE CHINESE UNIVERSITY OF HONG KONG, SHA TIN, NEW TERRITORIES",,2018-07-17,0
PC,61,5061000347,OCEAN THEATRE,"1/F (PORTION) - 5/F (PORTION), 3 CANTON ROAD, TSIM SHA TSUI, KOWLOON",,2018-06-20,0
PC,61,5061000505,"BROADWAY CINEMATHEQUE 1, 2, 3 & 4","CINEMA BLOCK, PHASE 2, PROSPEROUS GARDEN, KIL 10878, 3 PUBLIC SQUARE STREET, YAU MA TEI, KOWLOON",,2017-12-07,0
PC,61,5061800020,THE GRAND CINEMA,"GROUND LEVEL (PORTION), LEVEL 1 (PORTION), LEVEL 2 (PORTION), LEVEL 3 (PORTION) & PODIUM LEVEL (PORTION), ELEMENTS, KOWLOON STATION, 1 AUSTIN ROAD WEST, KOWLOON",,2018-03-19,0
